video_id,title,keyword,keyword_zh,school_slug,school_zh,township_slug,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,youtube
Y8d33gppbgE,Word of the Day: homework 家庭作業,homework,家庭作業,erlin,彰化縣二林鎮二林國小,erlin,The students are quietly doing their homework in the classroom.,學生們正在教室裡安靜地做作業。,The homework helps them review what they have learned in class.,作業幫助他們複習在課堂上學到的知識。,https://www.youtube.com/watch?v=Y8d33gppbgE
1PplXg6mS9s,Word of the Day: modelling clay 造型黏土,modelling clay,造型黏土,erlin,彰化縣二林鎮二林國小,erlin,You can use modelling clay to make your very own artwork.,您可以使用造型黏土來製作自己的藝術品。,Modelling clay is easy and fun to use.,黏土模型使用起來既簡單又有趣。,https://www.youtube.com/watch?v=1PplXg6mS9s
UdQuQ95k-yU,Word of the Day: soccer 足球,soccer,足球,cundong,彰化縣大村鄉村東國小,dacun,The students are working on their soccer skills on the field.,學生們正在球場上練習足球技巧。,They are learning to control the soccer ball with their feet.,他們正在學習用腳控制足球。,https://www.youtube.com/watch?v=UdQuQ95k-yU
V4R57WkQpjo,Word of the Day: puffed rice 爆米香,puffed rice,爆米香,chungshan,彰化縣彰化市中山國小,changhua-city,The students watch puffed rice being made.,學生們觀看爆米香是如何製作的。,They learn how to make puffed rice.,他們學習製作爆米香。,https://www.youtube.com/watch?v=V4R57WkQpjo
OMcVOAlaIwg,Word of the Day: math 數學,math,數學,shuiwei,彰化縣溪州鄉水尾國小,xizhou,The students are solving math problems.,學生們正在解決數學問題。,The students are working on their math workbooks.,學生們正在做他們的數學作業本。,https://www.youtube.com/watch?v=OMcVOAlaIwg
4vKDOhR1oSA,Word of the Day: jump rope 跳繩,jump rope,跳繩,shuiwei,彰化縣溪州鄉水尾國小,xizhou,Jump rope is a good way to stay active and healthy.,跳繩是保持活躍和健康的好方法。,The students enjoy playing jump rope at recess.,課間休息時，學生喜歡玩跳繩。,https://www.youtube.com/watch?v=4vKDOhR1oSA
0QPppzLf42E,Word of the Day: agriculture class 食農課,agriculture class,食農課,shuiwei,彰化縣溪州鄉水尾國小,xizhou,"In the agriculture class, students loosen the soil and mix in fertilizer.",在農業課上，學生鬆土、施肥。,They learn basic farming skills by working together outdoors during the agriculture class.,他們在農業課上一起在戶外工作，學習基本的農耕技能。,https://www.youtube.com/watch?v=0QPppzLf42E
UMfTGeKoduM,Word of the Day: soccer ball 足球,soccer ball,足球,dacheng-cc,彰化縣彰化市大成國小,changhua-city,The students learn how to dribble a soccer ball.,學生學習如何連續帶球。,They shoot the soccer ball.,他們射門。,https://www.youtube.com/watch?v=UMfTGeKoduM
lZmr0nQz7q4,Word of the Day: serve 打菜,serve,打菜,dacheng-cc,彰化縣彰化市大成國小,changhua-city,"During school lunch, students are served food or serve themselves.",學校午餐期間，有學生位同學打菜或自行打菜。,School lunch is always served healthy.,學校午餐總是健康的。,https://www.youtube.com/watch?v=lZmr0nQz7q4
ujRUPeI3-wI,Word of the Day: agriculture class 食農課,agriculture class,食農課,dacheng-cc,彰化縣彰化市大成國小,changhua-city,"In the agriculture class, students loosen the soil and mix in fertilizer.",在農業課上，學生鬆土、施肥。,They learn basic farming skills by working together outdoors during the agriculture class.,他們在農業課上一起在戶外工作，學習基本的農耕技能。,https://www.youtube.com/watch?v=ujRUPeI3-wI
Wryx9BVlkho,Word of the Day: recorder 直笛,recorder,直笛,dacheng-cc,彰化縣彰化市大成國小,changhua-city,The recorder is the first musical instrument that many students learn.,直笛是很多學生學的第一項樂器。,You can play many songs on a recorder.,你可以用直笛吹奏很多歌曲。,https://www.youtube.com/watch?v=Wryx9BVlkho
I30rtGLTlbE,Word of the Day: violin 小提琴,violin,小提琴,changan,彰化縣竹塘鄉長安國小,zhutang,The students practice the violin in class.,學生們在課堂上練習小提琴。,They follow the teacher's instructions to play the violin.,他們按照老師的指示拉小提琴。,https://www.youtube.com/watch?v=I30rtGLTlbE
eSlMZWYAC8g,Word of the Day: first grader 一年級生,first grader,一年級生,cundong,彰化縣大村鄉村東國小,dacun,The school organized activities to help first graders and their parents get to know the school better.,學校規劃活動，幫助一年級新生及其家長更了解學校。,These events made first graders feel more comfortable in the new environment.,這些活動讓新生更加適應新環境。,https://www.youtube.com/watch?v=eSlMZWYAC8g
HerAf4NsA8c,Word of the Day: reading 閱讀,reading,閱讀,cundong,彰化縣大村鄉村東國小,dacun,Look at the students: they’re all reading quietly.,看看這群學生，他們閱讀時多麼安靜啊！,Reading often can help you improve your vocabulary and learn many new things.,閱讀經常可以讓你增加字彙並且學到很多新知。,https://www.youtube.com/watch?v=HerAf4NsA8c
TBmanfvoJMk,Word of the Day: swimming class 游泳課,swimming class,游泳課,changan,彰化縣竹塘鄉長安國小,zhutang,The students learn how to swim in swimming class.,同學們在游泳課時學習如何游泳。,They learn the basics of swimming in swimming class.,他們在游泳課時學習游泳的基本動作。,https://www.youtube.com/watch?v=TBmanfvoJMk
5HawhEpouRY,Word of the Day: jump rope 跳繩1 南州國小,jump rope,跳繩1 南州國小,nanjhou,彰化縣溪州鄉南州國小,xizhou,Jump rope is a good way to stay active and healthy.,跳繩是保持活躍和健康的好方法。,The students enjoy playing jump rope at recess.,課間休息時，學生喜歡玩跳繩。,https://www.youtube.com/watch?v=5HawhEpouRY
1FadeuLgov4,Word of the Day: mobile library 行動圖書館,mobile library,行動圖書館,renfeng,彰化縣田尾鄉仁豐國小,tianwei,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=1FadeuLgov4
ac1YG5G6ktU,Word of the Day: study hall 自修時間,study hall,自修時間,wunde,彰化縣芬園鄉文德國小,fenyuan,The students are diligently studying in study hall.,學生們在自修時間認真學習。,In study hall the students have to work independently and quietly.,在自修時間，學生必須獨立、安靜地學習。,https://www.youtube.com/watch?v=ac1YG5G6ktU
_FjOZ5tSh0I,Word of the Day: dance performance 舞蹈表演,dance performance,舞蹈表演,raoming,彰化縣員林市饒明國小,yuanlin-city,The students perform their dance performance.,同學們在做舞蹈表演。,They dance in unison for their dance performance.,他們在做舞蹈表演時舞步一致。,https://www.youtube.com/watch?v=_FjOZ5tSh0I
Mk_u5QmkSww,Word of the Day: fitness test 體適能測驗,fitness test,體適能測驗,raoming,彰化縣員林市饒明國小,yuanlin-city,The students are practicing for their fitness test.,學生們正在為體能測驗進行練習。,A fitness test may include sit-ups and stretches.,體能測試可能包括仰臥起坐和伸展運動。,https://www.youtube.com/watch?v=Mk_u5QmkSww
_XEtRIii_EI,Word of the Day: rollerblade 溜直排輪,rollerblade,溜直排輪,raoming,彰化縣員林市饒明國小,yuanlin-city,These students are practicing to rollerblade.,這些學生正在練習溜直排輪。,Rollerblading can be for fun and also for exercise.,溜直排輪既可提供娛樂，又可作為運動。,https://www.youtube.com/watch?v=_XEtRIii_EI
WyFu7RlnUrQ,Word of the Day: space science 太空科學,space science,太空科學,dacheng-cc,彰化縣彰化市大成國小,changhua-city,The students attend a fun talk about space science in the auditorium.,學生們在禮堂參加一場關於太空科學的有趣講座。,They learn interesting facts about space science and enjoy asking questions.,他們學習有關太空科學的有趣事實並喜歡提問。,https://www.youtube.com/watch?v=WyFu7RlnUrQ
rLCsMt2iyRE,Word of the Day: jump rope 跳繩,jump rope,跳繩,wanlai,彰化縣北斗鎮萬來國小,beidou,Jumping rope is a great form of cardio.,跳繩是一項很好的有氧運動。,"Once you get the hang of it, you can jump rope really fast!",一旦你掌握到跳繩的要領，你就可以跳得很快。,https://www.youtube.com/watch?v=rLCsMt2iyRE
1KkVLu5Goao,Word of the Day: kindergarten 幼稚園,kindergarten,幼稚園,dacheng-cc,彰化縣彰化市大成國小,changhua-city,Children play different games in kindergarten.,小朋友在幼兒園玩不同的遊戲。,"In kindergarten, students learn basic skills.",學生在幼兒園學習基本的技能。,https://www.youtube.com/watch?v=1KkVLu5Goao
IBctc8233Pg,Word of the Day: check out 借書,check out,借書,dacheng-cc,彰化縣彰化市大成國小,changhua-city,The students check out books from the library at recess.,同學們利用下課到圖書室借書。,"After the librarian checks out the students' books, they can take them home to read.",向圖書館員辦理借閱手續後，同學們可以將書帶回家看。,https://www.youtube.com/watch?v=IBctc8233Pg
-VZRx5c3jpM,Word of the Day: sculpture 雕塑品,sculpture,雕塑品,dacheng-cc,彰化縣彰化市大成國小,changhua-city,The students visit an art museum during a field trip to see different sculptures.,學生們在校外教學期間參觀了藝術博物館，欣賞不同的雕塑。,They learn about sculpture works made by Taiwanese artists.,他們了解台灣藝術家的雕塑作品。,https://www.youtube.com/watch?v=-VZRx5c3jpM
rJ6vuTrALGk,Word of the Day: storyteller 說故事的人,storyteller,說故事的人,hsinmin,彰化縣田中鎮新民國小,tianzhong,A good storyteller teaches a lesson and entertains you at the same time.,一個擅長講說故事的人可以教導大家道理，同時又兼具娛樂大眾。,The storytellers can use real or fictional information to tell a story.,說故事的人可能用真實或者是虛構的情節來說故事。,https://www.youtube.com/watch?v=rJ6vuTrALGk
O09xlZpIgaY,Word of the Day: reading 閱讀,reading,閱讀,dacheng-cc,彰化縣彰化市大成國小,changhua-city,Look at the students. They’re all reading quietly.,看看這群學生，他們閱讀時多麼安靜啊！,Reading often can help you improve your vocabulary and learn many new things.,閱讀經常可以讓你增加字彙並且學到很多新知。,https://www.youtube.com/watch?v=O09xlZpIgaY
NJIZI7vuaEQ,Word of the Day: mobile library 行動圖書館,mobile library,行動圖書館,shuiwei,彰化縣溪州鄉水尾國小,xizhou,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=NJIZI7vuaEQ
AJnKvUXKKDI,Word of the Day: watercolor 水彩,watercolor,水彩,dacheng-cc,彰化縣彰化市大成國小,changhua-city,"In art class, the students are painting with watercolor.",學生們在美術課用水彩畫畫。,"To use watercolor, you need a brush, a palette and water.",用水彩繪畫時，你需要畫筆、調色盤還有水。,https://www.youtube.com/watch?v=AJnKvUXKKDI
Yk08zES6ZpE,Word of the Day: artificial intelligence 人工智慧,artificial intelligence,人工智慧,dacheng-cc,彰化縣彰化市大成國小,changhua-city,"Artificial intelligence, also called AI, is an extremely important modern technology.",人工智慧又稱為AI，它是非常重要的現代科技。,It's valuable for the students to learn about artificial intelligence because this technology will have a huge impact on all our lives.,學習人工智慧對學生而已是很寶貴的經驗，因為這項科技對於我們的生活將有巨大的影響。,https://www.youtube.com/watch?v=Yk08zES6ZpE
RV5CUqZmBCY,Word of the Day: CPR 心肺復甦術,CPR,心肺復甦術,santan,彰化縣田中鎮三潭國小,tianzhong,CPR is a procedure that can save someone's life if their heart stops beating.,心肺復甦術是種醫療處理，當有人心臟停止跳動時可以用它來救人一命。,"CPR isn't only useful for adults to learn; kids can learn and perform CPR, too.",心肺復甦術不僅對大人很有用，小孩子也可以學習做CPR。,https://www.youtube.com/watch?v=RV5CUqZmBCY
88x2OZQSAzg,Word of the Day: tea culture 茶文化,tea culture,茶文化,tachu,彰化縣彰化市大竹國小,changhua-city,"In tea culture, the host prepares tea for the guests.",在茶文化中，主人為客人泡茶。,Tea culture is very important in Taiwan.,茶文化在台灣非常重要。,https://www.youtube.com/watch?v=88x2OZQSAzg
2R7g30xolGk,Word of the Day: tee-ball 樂樂棒球,tee-ball,樂樂棒球,tiantou,彰化縣竹塘鄉田頭國小,zhutang,"In tee-ball, you hit the ball with a bat.",在玩樂樂棒時，您使用球棒擊球。,"To score a point in tee-ball, the runner has to get to the home plate.",要在樂樂棒的比賽中得分，跑者必須到達本壘。,https://www.youtube.com/watch?v=2R7g30xolGk
y5hzmXOtPoc,Word of the Day: tablet 平板,tablet,平板,datong,彰化縣伸港鄉大同國小,shenkang,The students are using tablets with keyboards in class.,同學們在課堂上使用加上鍵盤的平板。,The students are using their tablets to learn new things in class.,同學們在課堂上使用他們的平板來學習新的事物。,https://www.youtube.com/watch?v=y5hzmXOtPoc
-o5gFBhQ1hg,Word of the Day: ping pong 桌球,ping pong,桌球,santan,彰化縣田中鎮三潭國小,tianzhong,"Ping pong, also known as table tennis, is a fun sport you can play indoors.",乒乓球又稱為桌球，這是一個有趣的室內運動。,Playing ping pong can help you improve your hand-eye coordination.,打桌球可以提升你的手眼協調性。,https://www.youtube.com/watch?v=-o5gFBhQ1hg
lk94wzG0rkY,Word of the Day: agility ladder 繩梯,agility ladder,繩梯,datong,彰化縣伸港鄉大同國小,shenkang,The agility ladder helps with your speed.,繩梯幫助你提升速度。,The students move through the agility ladder quickly.,同學們快速移動通過繩梯,https://www.youtube.com/watch?v=lk94wzG0rkY
x0skZHBUrAo,Word of the Day: grow vegetables 種植蔬菜,grow vegetables,種植蔬菜,santan,彰化縣田中鎮三潭國小,tianzhong,The students learn how to grow vegetables.,學生學習如何種植蔬菜。,They plant a seed in a pot to grow vegetables.,他們在花盆裡種下種子來種植蔬菜。,https://www.youtube.com/watch?v=x0skZHBUrAo
EFqL6pDElfA,Word of the Day: contraption 裝置,contraption,裝置,renfeng,彰化縣田尾鄉仁豐國小,tianwei,The students are making different contraptions with building blocks.,學生們用積木打造不同的裝置。,They follow instructions to build their contraptions.,他們遵循指示來建造他們的裝置。,https://www.youtube.com/watch?v=EFqL6pDElfA
qlbciifIpCU,Word of the Day: board game 桌遊,board game,桌遊,tiantou,彰化縣竹塘鄉田頭國小,zhutang,The students form groups to play a board game.,同學們分組玩桌遊。,They enjoy playing the board game in class.,他們很喜歡在課堂上玩桌遊。,https://www.youtube.com/watch?v=qlbciifIpCU
0oT6eWn7Sbo,Word of the Day: mobile library 行動圖書館,mobile library,行動圖書館,tiantou,彰化縣竹塘鄉田頭國小,zhutang,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=0oT6eWn7Sbo
UG_Volei9vU,Word of the Day: basketball court 籃球場,basketball court,籃球場,lushang,彰化縣芳苑鄉路上國小,fangyuan,The kids are playing on the basketball court.,小朋友在籃球上打籃球。,Most basketball courts have a hoop on each side.,大部分的籃球場兩邊各有一個籃框。,https://www.youtube.com/watch?v=UG_Volei9vU
9gaFXdAX0Ko,Word of the Day: sweep 掃,sweep,掃,tiantou,彰化縣竹塘鄉田頭國小,zhutang,"Every day, students sweep away fallen leaves on school grounds.",每天學生打掃校園的落葉。,"Students in Taiwan sweep the school grounds, keeping them clean and neat.",台灣的學生打掃校園，保持校園的乾淨整齊。,https://www.youtube.com/watch?v=9gaFXdAX0Ko
3tdyQH5x3DY,Word of the Day: recorder 直笛,recorder,直笛,tiantou,彰化縣竹塘鄉田頭國小,zhutang,The recorder is the first musical instrument that many students learn.,直笛是很多學生學的第一項樂器。,You can play many songs on a recorder.,你可以用直笛吹奏很多歌曲。,https://www.youtube.com/watch?v=3tdyQH5x3DY
ij87V_vuaZc,Word of the Day: mobile library 行動圖書館,mobile library,行動圖書館,santan,彰化縣田中鎮三潭國小,tianzhong,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=ij87V_vuaZc
8vPtwyfVY4U,Word of the Day: sweep 掃,sweep,掃,shuiwei,彰化縣溪州鄉水尾國小,xizhou,"Every day, students sweep away fallen leaves on school grounds.",每天學生打掃校園的落葉。,"Students in Taiwan sweep the school grounds, keeping them clean and neat.",台灣的學生打掃校園，保持校園的乾淨整齊。,https://www.youtube.com/watch?v=8vPtwyfVY4U
KrWkI1_awDI,Word of the Day: professional development 專業進修,professional development,專業進修,wansing,彰化縣二林鎮萬興國小,erlin,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,https://www.youtube.com/watch?v=KrWkI1_awDI
aTJGox_2SHU,Word of the Day: professional development 專業進修,professional development,專業進修,dacheng-cc,彰化縣彰化市大成國小,changhua-city,Teachers learn new skills and strategies during their professional development sessions.,在專業訓練課程中，老師可以學到新的教學技巧與策略。,"In Taiwan, all schools have professional development sessions for teachers.",在台灣，所有學校都有教師專業訓練課程。,https://www.youtube.com/watch?v=aTJGox_2SHU
Ryjox4v0sKo,Word of the Day: gingerbread house 薑餅屋,gingerbread house,薑餅屋,lushang,彰化縣芳苑鄉路上國小,fangyuan,The students make gingerbread houses in class.,學生們在課堂上製作薑餅屋。,They use gingerbread cookies and different decortations to make their gingerbread houses.,他們用薑餅餅乾和不同的裝飾品來製作薑餅屋。,https://www.youtube.com/watch?v=Ryjox4v0sKo
C512bYm1Ckg,Word of the Day: Chinese class 國語課,Chinese class,國語課,tiantou,彰化縣竹塘鄉田頭國小,zhutang,The students are in Chinese class.,同學們正在上國語課。,They learn Chinese characters in Chinese class.,他們在國語課學習中文字。,https://www.youtube.com/watch?v=C512bYm1Ckg
Y6moy3MAwv0,Word of the Day: talent show 才藝表演,talent show,才藝表演,lushang,彰化縣芳苑鄉路上國小,fangyuan,A talent show is when students perform their special skills for others to enjoy.,才藝表演是學生表演特殊才藝給別人欣賞的機會。,"During the talent show, students play different musical instruments, sing or dance.",在這場才藝表演中，同學們演奏不同的樂器、唱歌或跳舞。,https://www.youtube.com/watch?v=Y6moy3MAwv0
t15paeE07TQ,Word of the Day: Taiko drum 太鼓,Taiko drum,太鼓,santiao,彰化縣溪州鄉三條國小,xizhou,The students practice the Taiko drum.,學生們練習打太鼓。,They play the Taiko drum in unison.,他們打太鼓時動作整齊劃一。,https://www.youtube.com/watch?v=t15paeE07TQ
pIP35eMMVaM,Word of the Day: Taiko drum 太鼓,Taiko drum,太鼓,changan,彰化縣竹塘鄉長安國小,zhutang,The students practice the Taiko drum.,學生們練習打太鼓。,They play the Taiko drum in unison.,他們打太鼓時動作整齊劃一。,https://www.youtube.com/watch?v=pIP35eMMVaM
B8KqgkUjByU,Word of the Day: lawn 草坪,lawn,草坪,lushang,彰化縣芳苑鄉路上國小,fangyuan,A worker is mowing the lawn at the school.,一名工人正在學校修剪草坪。,"He drives a four-wheeled lawnmower across the lawn, back and forth.",他駕駛著四輪割草機在草坪上來回移動。,https://www.youtube.com/watch?v=B8KqgkUjByU
IfspXK0EjsI,Word of the Day: wash your hands 洗手,wash your hands,洗手,tiantou,彰化縣竹塘鄉田頭國小,zhutang,It's important to wash your hands after using the bathroom.,上完廁所後洗手是很重要的。,Make sure to wash your hands with soap and water before eating.,確定在吃東西之前要用香皂和水來洗手。,https://www.youtube.com/watch?v=IfspXK0EjsI
BlNlPsWMT64,Word of the Day: earthquake drill 地震演習,earthquake drill,地震演習,sinbao,彰化縣芳苑鄉新寶國小,fangyuan,The students cover their heads during the earthquake drill.,在地震防災演練中，學生們用東西遮蓋頭部。,They go outside to learn more about an earthquake drill.,他們到教室外學習更多地震防災演練的知識。,https://www.youtube.com/watch?v=BlNlPsWMT64
NsLq7nz2dWQ,Word of the Day: Christmas celebration 慶祝聖誕,Christmas celebration,慶祝聖誕,nanya,彰化縣社頭鄉湳雅國小,shetou,Santa Claus greets the students during the Christmas celebration.,在聖誕慶祝活動當中，聖誕老人向同學們問候。,Santa Claus gives gifts to the students during the Christmas celebration.,在聖誕慶祝活動中，聖誕老人送禮物給學生們。,https://www.youtube.com/watch?v=NsLq7nz2dWQ
pT5ipOqZmvg,Word of the Day: technology 科技,technology,科技,lushang,彰化縣芳苑鄉路上國小,fangyuan,Technology is an important part of modern education.,科技是現代教育的重要組成部分。,"This teacher is using technology in his classroom, letting his students use tablets to learn English.",這位老師正在課堂上使用科技，讓他的學生使用平板電腦學習英語。,https://www.youtube.com/watch?v=pT5ipOqZmvg
CMQnqjv4r0A,Word of the Day: event 活動,event,活動,lushang,彰化縣芳苑鄉路上國小,fangyuan,The school holds a special event to celebrate Christmas.,學校舉辦特別活動慶祝聖誕節。,"At the event, students visit various stations around the school for a series of fun games.",活動中，學生們玩一系列有趣的闖關遊戲。,https://www.youtube.com/watch?v=CMQnqjv4r0A
seWwp0iFBFo,Word of the Day: clay 黏土,clay,黏土,shuiwei,彰化縣溪州鄉水尾國小,xizhou,The students are using clay to make their own art.,同學們用黏土創作他們自己的作品。,"Clay is very soft, so the kids can mold it into different shapes.",黏土很柔軟，所以小朋友可以將它塑造成不同的形狀。,https://www.youtube.com/watch?v=seWwp0iFBFo
KtIkgu1jMhY,Word of the Day: soccer ball 足球,soccer ball,足球,shuiwei,彰化縣溪州鄉水尾國小,xizhou,The students learn how to dribble a soccer ball.,學生學習如何連續帶球。,They shoot the soccer ball.,他們射門。,https://www.youtube.com/watch?v=KtIkgu1jMhY
8frKXG86LmI,Word of the Day: Christmas celebration 慶祝聖誕,Christmas celebration,慶祝聖誕,chungshan,彰化縣彰化市中山國小,changhua-city,The students gather on stage for the Christmas celebration.,學生們聚集在舞台上慶祝聖誕節。,The students show their special skills for the Christmas celebration.,學生們表演他們的特殊技能來慶祝聖誕節。,https://www.youtube.com/watch?v=8frKXG86LmI
WPGGaH5DOko,Word of the Day: Christmas celebration 慶祝聖誕,Christmas celebration,慶祝聖誕,santan,彰化縣田中鎮三潭國小,tianzhong,The students gather on stage for the Christmas celebration.,學生們聚集在舞台上慶祝聖誕節。,The students show their special skills for the Christmas celebration.,學生們表演他們的特殊才藝來慶祝聖誕節。,https://www.youtube.com/watch?v=WPGGaH5DOko
a7yrlB46tLk,Word of the Day: reading log 閱讀紀錄單,reading log,閱讀紀錄單,wanlai,彰化縣北斗鎮萬來國小,beidou,The school showcases students' reading logs for browsing.,學校展示學生的閱讀紀錄單供瀏覽。,These reading logs feature thoughts from their story readings.,這些閱讀紀錄單包含了他們閱讀故事時的想法。,https://www.youtube.com/watch?v=a7yrlB46tLk
8GVn34Wzw-o,Word of the Day: Chinese characters 國字,Chinese characters,國字,sinbao,彰化縣芳苑鄉新寶國小,fangyuan,The students learn Chinese characters in class.,同學們在課堂上學習國字。,They read and write Chinese characters.,他們閱讀並書寫國字。,https://www.youtube.com/watch?v=8GVn34Wzw-o
iWDhUAyMees,Word of the Day: sticky rice ball 湯圓,sticky rice ball,湯圓,lushang,彰化縣芳苑鄉路上國小,fangyuan,The students make sticky rice balls for the winter solstice.,學生們為冬至做搓湯圓。,"Every year, sticky rice balls are made during the winter solstice.",每年大家都會在冬至的時候煮湯圓。,https://www.youtube.com/watch?v=iWDhUAyMees
4FFp9v9HUjI,Word of the Day: library 圖書館,library,圖書館,lushang,彰化縣芳苑鄉路上國小,fangyuan,"With the new system in the library, the students can check out and return books by themselves.",圖書館有新的系統讓學生可以自己借還書。,The students enjoy using the new system in the library because it is convenient.,同學們喜歡使用這個新系統，因為它很方便。,https://www.youtube.com/watch?v=4FFp9v9HUjI
Lw_S-GY-NnA,Word of the Day: jump rope 跳繩,jump rope,跳繩,lushang,彰化縣芳苑鄉路上國小,fangyuan,Jumping rope is a great form of cardio.,跳繩是一種很好的有氧運動。,"Once you get the hang of it, you can jump rope really fast!",一旦掌握了竅門，你就能跳得很快！,https://www.youtube.com/watch?v=Lw_S-GY-NnA
FsE9moGm5Ac,Word of the Day: jump rope 跳繩,jump rope,跳繩,santiao,彰化縣溪州鄉三條國小,xizhou,Jumping rope is a great form of cardio.,跳繩是一種很好的有氧運動。,"Once you get the hang of it, you can jump rope really fast!",一旦掌握了竅門，你就能跳得很快！,https://www.youtube.com/watch?v=FsE9moGm5Ac
z1MjwZQZ-eY,Word of the Day: field trip 校外教學,field trip,校外教學,santan,彰化縣田中鎮三潭國小,tianzhong,The students go on a field trip.,彰化縣田中鎮 三潭國小,They observed many new things during their field trip.,學生們去校外教學。,https://www.youtube.com/watch?v=z1MjwZQZ-eY
_Gmx29gi75o,Word of the Day: brush your teeth 刷牙,brush your teeth,刷牙,chungshan,彰化縣彰化市中山國小,changhua-city,Please brush your teeth after lunch.,午餐後請刷牙。,Brushing your teeth can keep them healthy.,刷牙可以保持牙齒的健康。,https://www.youtube.com/watch?v=_Gmx29gi75o
