keyword,keyword_zh,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,school,youtube
Push Hands (n.),推手,"The students are practicing ""Push Hands"" to learn balance.",學生們正在練習「推手」來學習平衡。,"The teacher shows them how to stay steady in ""Push Hands"" class.",老師在「推手」課上教他們如何保持穩固。,彰化縣大城鄉西港國小,https://www.youtube.com/watch?v=hGKr3m0tUmk
bubble (n.),泡泡,The students are making bubbles using different tools.,學生們正在使用許多不同的工具製作泡泡。,They learn that making bubbles always creates round shapes.,他們學到製作泡泡總是會產生圓形的形狀。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=v_9W87F8V7U
Song Jiang Battle Array (n.),宋江陣,The students are practicing Song Jiang Battle Array together.,學生們正在一起練習宋江陣。,Song Jiang Battle Array needs great teamwork and skills.,宋江陣需要強大的團隊默契與技巧。,彰化縣田尾鄉仁豐國小,https://www.youtube.com/watch?v=VGZ84VjD6Hs
law (n.),法律,The students are learning about the law.,學生們正在學習關於法律的知識。,This lesson teaches them basic law knowledge.,這堂課教導他們基本的法治常識。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=YgS8YTTwUmk
throw (v.),丟、扔,The students are practicing throwing the ball far away.,學生們正在練習把球丟遠。,They take turns throwing the ball on the running track.,他們在跑道上輪流丟球。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=R28W3pjQ6X4
halo-halo (n.),菲律賓冰品,"The students are making the famous Filipino dessert, Halo-halo.",學生們正在製作著名的菲律賓甜點：Halo-halo。,"They are mixing various ingredients, such as fruits and crushed ice, to make their own Halo-halo.",他們正在混合各種配料，像是水果和碎冰，來製作自己的Halo-halo甜點。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=Z8CRulcshwI
Zentangle (n.),禪繞畫,The students are enjoying a fun Zentangle art class.,學生們正在享受一堂有趣的禪繞畫藝術課。,They use simple lines and patterns in their Zentangle art to feel calm and relax.,他們在禪繞畫藝術中使用簡單的線條和圖案，讓自己感到平靜和放鬆。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=us8PMr_dPD8
square meter (n.),平方公尺,Students make a one square meter template in math class.,學生們在數學課上製作一個一平方公尺的模板。,They use the template to measure things and understand the square meter.,他們使用模板來測量東西並了解平方公尺。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=z4PKXqhtE20
sports equipment (n.),體育器材,Students sometimes need to check out sports equipment for their physical education (PE) class.,學生們有時需要借用體育課器材（PE equipment）來上他們的體育課。,They must sign the register to borrow the sports equipment and sign them back in after class.,他們必須簽名登記才能借用體育器材（PE equipment），並在下課後簽名歸還。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=sSERvm6uT9Y
cyanotype (n.),藍曬,The students are doing a hands-on cyanotype art project.,學生們正在做一個動手操作的藍曬藝術專案。,They are following steps to make a cyanotype print.,他們正在按照步驟製作一張藍曬版畫/照片。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=dtNOIxpcQTI
exhibit (n.),展覽,The students are looking closely at the exhibits to learn about the 'Made in Changhua' spirit.,學生們正在仔細觀看展品，以學習「彰化製造」的精神。,They are listening to the guide for the different high-tech and traditional exhibits.,他們聽導覽員說明各種高科技和傳統展品。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=iNp1AxrQ2J0
vaccine (n.),疫苗,The students are waiting to get the flu vaccines.,學生們正在等待接種流感疫苗。,Many healthcare workers came to the school to give students their vaccines.,許多醫護人員來到學校為學生接種疫苗。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=v6LMj_1Q2LE
charity sale (n.),義賣,The sixth-grade students held a charity sale to raise money for their graduation trip.,六年級的學生們舉辦了一場慈善義賣，為畢業旅行籌集資金。,They sold drinks and desserts to customers at their booth during the charity sale.,在義賣期間，他們在自己的攤位上向顧客出售飲料和甜點。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=tQ9qqoVe6SQ
meeting (n.),會議,Teachers and parents attend the Class Parent-Teacher Meeting for the new semester.,老師和家長們參加了新學期的班級親師座談會。,"During the meeting, the parents are learning about the curriculum of the school.",在會議期間，家長們了解學校的課程。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=FhcjEMrmfXE
SH150 program (n.),方案,Students are participating in the SH150 program by doing daily stretches and running.,學生們正在進行日常伸展和跑步來參與 SH150 方案。),The goal of SH150 program is to promote regular exercise and better fitness for students.,SH150 的目標是促進學生的規律運動和更好的體適能。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=vpWt_i5CbYg
swimming class (n.),游泳課,The students learn how to swim in swimming class.,同學們在游泳課時學習如何游泳。,They learn the basics of swimming in swimming class.,他們在游泳課時學習游泳的基本動作。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=kK7S5EzBJuk
bubble painting (n.),泡泡水彩畫,The students are doing a fun art activity called bubble painting.,學生們正在進行一項有趣的藝術活動，叫做吹泡泡水彩畫。,They mix soap and watercolor to create unique patterns with their bubble painting.,他們混合了肥皂和水彩，用他們的吹泡泡水彩畫來創造獨特的圖案。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=nPH9ojBYXC4
Vietnamese (n.),越南的,The students are learning about Vietnamese culture and language in a fun summer camp.,學生們正在一個有趣的夏令營中學習越南文化和語言。,They are taking part in hands-on activities to understand Vietnamese customs.,他們正在參與動手做的活動來了解越南風俗。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=kpdE-CzkXPw
tea ceremony (n.),茶道,The students practice performing a tea ceremony.,同學們在練習茶道。,You have to pay attention to details during a tea ceremony.,進行茶道時，你必須注意細節。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=SYEcRdiV6AM
activity (n.),活動,The students are making rice balls as part of a fun rice ball activity with the Farmers' Association.,學生們正在與農會合作，進行一場有趣的飯糰活動，製作飯糰。,They are using their hands to shape the rice and vegetables in this rice ball activity.,他們正在這個飯糰活動中，用手將米飯和蔬菜塑形。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=aoxzO-S4zdQ
field trip (n.),校外教學1,"The students are on a field trip in Lukang, where a tour guide is telling them about the historical sites",學生們正在鹿港校外教學，一位導覽員正向他們介紹古蹟。,"They are also taking part in a hands-on activity, making traditional crafts and learning about local culture.",他們也正在參與一項動手做的活動，製作傳統工藝品並學習當地文化。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=Tyr-eJCq7IE
makeup (n.),化妝,The students are getting their stage makeup done for the upcoming performance.,學生們正在為即將到來的演出化舞台妝。,A makeup artist is helping the students put on makeup to make their faces stand out on stage.,一位化妝師正在幫助學生們化妝，讓他們的臉在舞台上更突出。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=vtKtdSYOXMI
card (n.),卡片,The students are making Mother's Day cards with pop-up designs and sparkles.,學生們正在製作有立體設計和亮片的母親節卡片。,They are using different art materials to create beautiful and unique cards for their moms.,他們正在使用不同的美術材料，為他們的媽媽製作美麗且獨一無二的卡片。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=w0IYXb6c6gg
video (n.),影片,The students are preparing for an English speaking contest by using video resources.,學生們正在利用影片資源，為一場英語朗讀比賽做準備。,They are practicing their pronunciation and fluency by listening and speaking along with the videos.,他們正在透過聽取影片並跟著說，來練習他們的發音和流暢度。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=uUv1i_pdLiY
badminton (n.),羽球,These students are learning to play badminton.,學生們正在學習打羽毛球。,Badminton can be a single or team sport.,羽毛球可以是單人運動，也可以是團隊運動。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=tiOHCODBiko
mural (n.),壁畫,The students are working together to paint a colorful school mural on the wall.,學生們正在合作在牆上繪製一幅色彩豐富的學校壁畫。,They are using paint and brushes to decorate the campus with this large school mural.,他們正在使用顏料和畫筆，用這幅大型的學校壁畫來美化校園。,彰化縣北斗鎮萬來國小,https://www.youtube.com/watch?v=xgG0bbB9uU0
plant (n.),種植,The students are learning how to plant scallions.,學生們正在學習如何種植蔥。,"They dig the soil, plant the seedlings, and water them to help them grow.",他們挖土、種下蔥苗，並為它們澆水，好讓它們成長。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=ENzUQMqGUWg
game (n.),遊戲,The teacher uses a game to make English class fun and engaging.,老師用遊戲讓英語課變得有趣和吸引人。,Games in class keep students focused and interested.,課堂上的遊戲可以保持學生的注意力和興趣。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=z1cbk-NU2eo
Hakka (n.),客家語,The school has added the Hakka language to its curriculum.,學校已將客語納入校訂課程中。,The students learn Hakka proverbs and a new sentence at the Tuesday morning assembly.,學生們在每週二的朝會上，會學習一句新的客語和客家諺語。,彰化縣溪州鄉成功國小,https://www.youtube.com/watch?v=OQ9UJKfRgXA
calligraphy (n.),書法,The boys and girls are learning traditional Chinese calligraphy.,這群男孩和女孩正在學習中國傳統的書法。,"To get good at calligraphy, you have to have a lot of patience!",書法要寫得好必須要很有耐心。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=CYZHbVx1_xI
celebrate (v.),慶祝,The students are celebrating their classmate's birthday.,學生們慶祝他們同班同學的生日。,They are having a good time celebrating his birthday.,他們在慶祝他的生日時非常開心。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=RKZlRQ6vCZU
newspaper (n.),報紙,The students are reading a newspaper to learn about current events.,同學們正在讀報瞭解時事。,They also improve their reading abilities by reading newspapers.,他們可以藉由讀報來提升閱讀能力。,彰化縣彰化市大竹國小,https://www.youtube.com/watch?v=D_2t8hAoypY
number (n.),數字,The students are doing a puzzle game to learn numbers in English.,學生們正在玩一個益智遊戲來學習英語中的數字。,They are matching the number cards with the correct word cards.,他們正在將數字卡片與正確的單字卡片進行匹配。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=gjaBtLg6Pn8
pinwheel (n.),風車,The students are having a great time playing with pinwheels outside.,學生們在戶外玩風車玩得很開心。,They are running on the grass to make their pinwheels spin in the wind.,他們在草地上奔跑，讓風車在風中旋轉。,彰化縣員林市饒明國小,https://www.youtube.com/watch?v=xrjsMNp47ec
field trip (n.),校外教學,Students go on a field trip to a farm to learn about plants and participate in farm activities.,學生們到農場進行校外教學，了解植物並參與農場活動。,"During the field trip, students make tofu pudding and learn about where food comes from.",在校外教學期間，學生們製作豆腐布丁並了解食物的來源。,彰化縣永靖鄉福興國小,https://www.youtube.com/watch?v=vnGORSWyr1g
water fight (n.),打水仗,The students are having a water fight as a special graduation activity.,學生們正在進行一場水戰，作為一項特殊的畢業活動。,They are using water blasters and buckets to play and have fun before they graduate.,畢業前，他們用水槍和水桶來玩耍和娛樂。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=chGR4MoBamo
outdoor education (n.),戶外教育,The students are taking an outdoor education trip at Taichung Metropolitan Park.,學生們正在台中都會公園進行戶外教育之旅。,They are taking part in an outdoor education activity to learn about plants and the environment.,他們正在參加戶外教育活動，了解植物和環境知識。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=vaSd2tYfCDw
Wordwall game (n.),單字牆遊戲,The students are using laptops in their English class to play a Wordwall game.,學生在英語課上使用筆記型電腦玩「單字牆」遊戲。,They are learning English vocabulary by playing the Wordwall game.,他們透過玩「單字牆」遊戲學習英語詞彙。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=nbRv6PXhFDQ
role play activity (n.),角色扮演活動,The students are doing a role-play activity to practice ordering food in English.,學生正在進行角色扮演活動，練習用英語點餐。,"In this role-play activity, they are practicing their English conversation skills by pretending to be customers and waiters.",在這個角色扮演活動中，他們透過扮演顧客和服務員來練習英語會話技能。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=rnWmc2jLvpM
graduation camp (n.),畢業營,"During their graduation camping trip, they are enjoying food, playing games, and making lasting memories.",在畢業露營之旅中，他們享用美食、玩遊戲，留下了難忘的回憶。,The students are having a fun graduation camping trip with their friends.,學生們和朋友們一起度過了有趣的畢業露營之旅。,彰化縣田中鎮三潭國小,https://www.youtube.com/watch?v=8GcJx6GpNlY
French toast (n.),法式吐司,The students are learning to cook by dipping bread in an egg mixture and frying French toast in a pan.,學生們正在學習烹飪，將麵包浸入雞蛋混合物中，然後在平底鍋裡煎法式吐司。,They are following the recipe to make delicious French toast by frying it until it is golden brown.,他們按照食譜煎至金黃色，製作出美味的法式吐司。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=vDIjU8HTzUo
pancake (n.),圓形鬆餅（美式薄煎餅）,The students are making pancakes by whisking the pancake mix.,學生們正在攪拌煎餅粉來做圓形鬆餅。,They are following the recipe to make delicious pancakes for a cooking class.,他們正在按照食譜為烹飪課程製作美味的圓形鬆餅。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=ChZejJ7GvQA
tour guide (n.),導覽員,A tour guide is giving the students a tour and introducing them to the history of rice in Taiwan.,導遊帶領學生參觀，並向他們介紹台灣的水稻歷史。,The students are learning from the tour guide about rice production and its cultural importance.,學生們正在嚮導遊學習水稻生產及其文化意義。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=m-LoqUw7iXI
running (n.),跑步,"During the school anniversary, students of various ages are participating in a running race on the track.",在校慶期間，不同年齡的學生正在跑道上參加一場跑步比賽。,Teachers and parents cheer for the students as they compete in a series of running events.,老師和家長們為正在一系列跑步項目中競爭的學生們歡呼。,台中市神岡區豐洲國小,https://www.youtube.com/watch?v=bY00IV_dWzM
session (n.),活動,A local teacher and a foreign teacher collaborate to lead an engaging storytelling session.,中師和一位外師合作，帶領一場引人入勝的說故事活動。,"During an 'English Day' event, students are listening and actively participating in an interactive Q&A session.",在「英語日」活動期間，學生們正在專心聆聽並積極參與互動問答環節。,台中市神岡區豐洲國小,https://www.youtube.com/watch?v=YQtcFq3xe6U
dance (v.),跳舞,The students dance to the music.,學生們跟隨著音樂節奏跳舞。,The students dance together in class.,學生們在課堂上一起舞蹈。,台中市神岡區豐洲國小,https://www.youtube.com/watch?v=K5inXsD_Oo0
basketball arcade game (n.),電子投籃遊戲,They are trying to get a high score on the basketball arcade game.,他們正在努力在籃球電子遊戲中取得高分。,The students are having a great time playing the basketball arcade game.,學生們正在玩籃球電子遊戲，玩得很開心。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=0Cq94Xys0bg
match (v.),配對,The students are playing a matching card game to find the correct pairs.,學生們正在玩配對紙牌遊戲，尋找正確的配對。,They are taking turns flipping over cards to see if they can make a match.,他們輪流翻紙牌，看看能否配對成功。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=SEJ6MnpDXPM
sand (n.),沙,The students are having fun playing in the sandbox with shovels and buckets.,學生拿著鏟子和水桶在沙箱玩耍，玩得很開心。,They are working together to build sandcastles and other shapes in the sand.,他們一起在沙上堆沙堡和其他形狀的東西。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=bqo3g3IKqLs
sweet potato balls (n.),地瓜球,The students are making sweet potato balls by mixing ingredients and rolling them into small pieces.,學生們正在製作地瓜球，把各種材料混合在一起，然後把它們搓成小塊。,Everyone is working together to get the sweet potato balls ready for frying.,大家齊心協力，把地瓜球做好油炸的準備。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=OjjGsPg5eG8
mall (n.),商場,The students are on a field trip to learn about different products in a shopping mall.,學生們正在進行校外教學活動，他們學習購物中心的各種商品。,They are practicing their shopping skills and are learning how to shop by themselves in the mall,他們正在練習購物技巧，學習如何在購物中心獨立購物。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=WaEq6CtY3jA
nine square grid puzzle (n.),九宮格拼圖,The students are putting together a nine-square grid puzzle to learn about local history and geography.,學生們正在拼九宮格拼圖，以了解當地的歷史和地理。,"Through this nine-square grid puzzle game, they are putting the boxes in the right order to finish the picture.",透過這個九宮格拼圖遊戲，他們將方格按正確的順序排列，以完成一幅完整的圖畫。,彰化縣二林鎮二林國小,https://www.youtube.com/watch?v=VsgXr78Bfjw
SDGs (n.),永續發展目標1,The students are making posters for World Ocean Day to promote SDG 14: Life Below Water.,學生們正在製作世界海洋日的海報，以宣傳永續發展目標14：水下生物。,They are drawing marine animals and are writing about topics like glass bottle recycling to protect the ocean.,他們畫著海洋動物，並撰寫了諸如玻璃瓶回收等主題的文章，以保護海洋。,彰化縣埔心鄉太平國小,https://www.youtube.com/watch?v=y3gIs_OJXXk
SDGs (n.),永續發展目標,"The students are drawing a comic story about SDG 6, which is about clean water and sanitation.",學生們正在繪製一個關於永續發展目標6（SDG 6）的漫畫故事，該目標與清潔水和衛生設施有關。,They are using their creativity to tell a story that promotes the importance of saving water.,他們發揮創造力，講述一個宣傳節約用水重要性的故事。,彰化縣埔心鄉太平國小,https://www.youtube.com/watch?v=tUWyUBqHkN4
thank you card (n.),感謝卡,The students are making special thank-you cards.,學生們正在製作特別的感謝卡。,The thank-you cards show appreciation for all the people who help them at school!,感謝卡表達了對所有在學校幫助過他們的人的感激之情！,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=LLkRJ3PHE_E
concert (n.),音樂會,The school is holding a wonderful Mother's Day Appreciation Concert to celebrate all our amazing moms.,學校將舉​​辦一場精彩的母親節感謝音樂會，為我們所有偉大的媽媽們獻上祝福。,"Students are showcasing their diverse talents at the special Mother's Day concert, showing their love and appreciation.",學生們在這場特別的母親節音樂會上展示了他們豐富多彩的才藝，表達了他們對母親的愛與感激。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=XeuUKc5VNn8
bilingual (adj.),雙語的,A sports professor is observing the bilingual PE lesson to help the teacher improve.,一位體育教授正在觀摩雙語體育課，以幫助老師提升水準。,The students are doing gymnastics in a bilingual PE lesson with the teacher.,學生們在雙語體育課上與老師一起練習體操。,彰化縣花壇鄉文祥國小,https://www.youtube.com/watch?v=3ZICNLaYHBQ
lotion (n.),乳液,The students are learning to make hand lotion on Career Day.,職業日當天，學生們正在學習製作護手乳。,They are using different ingredients to make their own unique lotion.,他們使用不同的原料，製作出自己獨特的護手乳。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=iufmyrAqcQA
scale (n.),秤,The students are using the scale to weigh the different objects.,學生們正在用秤稱量不同的物體。,They are learning how to use the scale by watching the numbers change.,他們透過觀察數字的變化來學習如何使用秤。,彰化縣員林市育英國小,https://www.youtube.com/watch?v=I-N0v0cRe4U
Earth Day (n.),地球日,The teacher is talking to the students in class about Earth Day.,老師正在課堂上為學生講解地球日。,The students are learning how to protect our planet on Earth Day.,學生們正在學習如何在地球日保護我們的地球。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=2fYRmKIFHU0
drone (n.),無人機,The students are navigating drones through the hoops.,學生們正在操控無人機穿越鐵環。,"Flying drones requires time, practice, and focus.",駕駛無人機需要時間、練習和專注。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=V_cgqOpR4DE
learn English (v.),學習英語,Listening to stories is a fun and effective way to learn English.,聽故事是一種有趣且有效的英語學習方法。,Interactive games can effectively engage students in learning English.,互動遊戲可以有效地吸引學生學習英語。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=QFnaNAKsw8I
outdoor (adj.),戶外的,"Students are enjoying a fantastic outdoor field trip, getting to try out rowing boats.",學生們正在享受非常特別的校外教學，他們嘗試划船。,"They are learning to paddle together on the water, exploring nature during their outdoor education.",在校外學習期間，他們學習如何在水上一起划槳，並探索大自然。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=GbKmXi1ldsQ
pass (v.),傳遞,The students are standing in a line to pass the books.,學生們站成一排傳遞書籍。,They are working together to pass the books from one place to another.,他們齊心協力，把書籍從一個地方傳遞到另一個地方。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=6MIi8fW1IpI
HIV/AIDS (n.),愛滋病毒,Students go to the auditorium to learn about HIV/AIDS.,同學們到禮堂聽取有關HIV病毒與愛滋病的知識。,They learn about HIV/AIDS for health education.,學習HIV病毒與愛滋病相關知識是他們健康教育的一部份。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=VhppzfCS9rY
enterovirus (n.),腸病毒,The students learn how to prevent enteroviruses at school.,學生在學校學習如何預防腸病毒。,They learn how to make disinfectants to prevent the spread of enterovirus.,他們學習如何製造消毒劑以防止腸病毒的傳播。,彰化縣溪州鄉水尾國小,https://www.youtube.com/watch?v=jFRxl4dhhgM
nap (n.),小睡,The students take a nap in between classes.,同學們在課堂中間做午休。,The students take a nap to rest for the next class.,同學們利用午休時間休息，儲備下節課的精神。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=mxld8MBPsqI
air (n.),空氣,Balloons expand when you fill them with air.,當你幫氣球打氣時，氣球會變大。,"Once the balloons are filled with air, you can use them to make all sorts of interesting designs.",一旦氣球充滿空氣，你能做成不同有趣的造型。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=L5u1A3ZMzXY
model structure (n.),模型建築,"Students are using cartons, glue, and craft sticks to build model structures.",學生們使用紙盒、膠水和工藝棒來搭建模型建築。,They are designing and creating their own model structures like junior architects.,他們就像小小建築師一樣，設計並創作屬於自己的模型建築。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=IP58pYEogv8
tour guide (n.),導遊,The tour guide talks about the historical sites.,導遊講述了歷史遺跡。,The students listen to the tour guide's explanation.,學生們聆聽導遊的講解。,彰化縣彰化市大成國小,https://www.youtube.com/watch?v=Gw0X5hx9rlw
ice rice dumpling (n.),冰粽,Students prepare to make ice rice dumplings with different fruits.,學生們準備用不同的水果來製作冰粽子。,Making and tasting  ice rice dumplings are a fun way to celebrate summer and to learn about a traditional snack.,製作和品嚐冰粽子是慶祝夏天和了解傳統小吃的有趣方式。,彰化縣彰化市快官國小,https://www.youtube.com/watch?v=d63C0Xo9b8w
Mother's Day card (n.),母親節卡,These students are making Mother's Day cards for their mothers.,這些學生正在為他們的母親製作母親節卡片。,They draw pictures and put a message on their Mother's Day cards.,他們畫畫並在母親節卡片上留言。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=LIezFbbFrsE
plant (n.),植物,The students go outside to learn about plants.,學生們到教室外面學習植物的知識。,They discover different kinds of plants around their school.,他們在校園內發掘不同種類的植物。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=LgCSF7kBR50
reading activity (n.),閱讀活動,The students do a reading activity in class.,學生在課堂上進行閱讀活動。,They work in groups to do a reading activity.,他們分組進行閱讀活動。,彰化縣大村鄉村東國小,https://www.youtube.com/watch?v=kLQgA1MSlVc
badminton (n.),羽球,The students play badminton outside.,學生在外面打羽毛球。,They practice hitting the shuttlecock while playing badminton.,他們一邊打羽毛球，一邊練習打羽毛球。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=VZDqVdF1KWQ
recorder (n.),直笛,The recorder is the first musical instrument that many students learn.,直笛是很多學生學的第一項樂器。,You can play many songs on a recorder.,你可以用直笛吹奏很多歌曲。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=rCqTqUNRx6I
virtual reality (n.),虛擬實境,The students are doing virtual reality.,學生們正在做虛擬實境。,They use headsets and controls to do virtual reality.,他們使用耳機和控制來實現虛擬實境。,彰化縣竹塘鄉長安國小,https://www.youtube.com/watch?v=MVWarRuC0ng
clay (n.),黏土,Students shape clay using their hands and creative ideas.,學生運用雙手和創意構思塑造黏土。,Creating clay art requires skilled hands and creative thinking.,創作黏土藝術需要熟練的雙手和創造性思考。,彰化縣溪州鄉溪州國小,https://www.youtube.com/watch?v=k_WK7qg1ULI
rice dumpling (n.),粽子,Students learn how to make rice dumplings at school.,學生在學校學習如何包粽子。,"Making a rice dumpling involves many steps—filling it, wrapping it in leaves, and tying it with string.",包粽子需要很多步驟──包餡、用粽葉包起來、用繩子綁起來。,彰化縣竹塘鄉田頭國小,https://www.youtube.com/watch?v=My5Y6muFlZE
life education (n.),生命教育,Students do a paper-cutting activity in the life education class.,學生們在生命教育課上進行剪紙活動。,"Through this life education class, they learn to appreciate differences: no two shapes are the same.",透過這堂生命教育課，他們學會欣賞差異：沒有兩個形狀是完全相同的。,彰化縣鹿港鎮鹿港國小,https://www.youtube.com/watch?v=nXMQBZ3F6AA
