video_id,title,keyword,keyword_zh,school_slug,school_zh,school_raw,school_status,township_slug,sentence_1,sentence_1_zh,sentence_2,sentence_2_zh,youtube,in_existing_csv
OGT727HyV0A,Word of the Day: virtual reality 虛擬實境,virtual reality,虛擬實境,chungshan,彰化縣彰化市中山國小,彰化縣彰化市中山國小,ok,changhua-city,The students are doing virtual reality.,學生們正在做虛擬實境。,They use headsets and controls to do virtual reality.,他們使用耳機和控制來實現虛擬實境。,https://www.youtube.com/watch?v=OGT727HyV0A,False
ooFvX9xaaSU,Word of the Day: tea culture 茶文化,tea culture,茶文化,chungshan,彰化縣彰化市中山國小,彰化縣彰化市中山國小,ok,changhua-city,"In tea culture, the host prepares tea for the guests.",在茶文化中，主人為客人泡茶。,Tea culture is very important in Taiwan.,茶文化在台灣非常重要。,https://www.youtube.com/watch?v=ooFvX9xaaSU,False
nPH9ojBYXC4,Word of the Day: bubble painting 泡泡水彩畫,bubble painting,泡泡水彩畫,xizhou,彰化縣溪州鄉溪州國小,彰化縣溪州鄉溪州國小,ok,xizhou,The students are doing a fun art activity called bubble painting.,學生們正在進行一項有趣的藝術活動，叫做吹泡泡水彩畫。,They mix soap and watercolor to create unique patterns with their bubble painting.,他們混合了肥皂和水彩，用他們的吹泡泡水彩畫來創造獨特的圖案。,https://www.youtube.com/watch?v=nPH9ojBYXC4,True
NSkWk7y8uEM,Word of the Day: agriculture class 食農課,agriculture class,食農課,xizhou,彰化縣溪州鄉溪州國小,彰化縣溪州鄉溪州國小,ok,xizhou,"In the agriculture class, students loosen the soil and mix in fertilizer.",在農業課上，學生鬆土、施肥。,They learn basic farming skills by working together outdoors during the agriculture class.,他們在農業課上一起在戶外工作，學習基本的農耕技能。,https://www.youtube.com/watch?v=NSkWk7y8uEM,False
kpdE-CzkXPw,Word of the Day: Vietnamese 越南的,Vietnamese,越南的,wenchang,彰化縣花壇鄉文祥國小,彰化縣花壇鄉文祥國小,ok,huatan,The students are learning about Vietnamese culture and language in a fun summer camp.,學生們正在一個有趣的夏令營中學習越南文化和語言。,They are taking part in hands-on activities to understand Vietnamese customs.,他們正在參與動手做的活動來了解越南風俗。,https://www.youtube.com/watch?v=kpdE-CzkXPw,True
SYEcRdiV6AM,Word of the Day: tea ceremony 茶道,tea ceremony,茶道,wenchang,彰化縣花壇鄉文祥國小,彰化縣花壇鄉文祥國小,ok,huatan,The students practice performing a tea ceremony.,同學們在練習茶道。,You have to pay attention to details during a tea ceremony.,進行茶道時，你必須注意細節。,https://www.youtube.com/watch?v=SYEcRdiV6AM,True
aoxzO-S4zdQ,Word of the Day: activity 活動,activity,活動,wenchang,彰化縣花壇鄉文祥國小,彰化縣花壇鄉文祥國小,ok,huatan,The students are making rice balls as part of a fun rice ball activity with the Farmers' Association.,學生們正在與農會合作，進行一場有趣的飯糰活動，製作飯糰。,They are using their hands to shape the rice and vegetables in this rice ball activity.,他們正在這個飯糰活動中，用手將米飯和蔬菜塑形。,https://www.youtube.com/watch?v=aoxzO-S4zdQ,True
Tyr-eJCq7IE,Word of the Day: field trip 校外教學1,field trip,校外教學1,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,"The students are on a field trip in Lukang, where a tour guide is telling them about the historical sites",學生們正在鹿港校外教學，一位導覽員正向他們介紹古蹟。,"They are also taking part in a hands-on activity, making traditional crafts and learning about local culture.",他們也正在參與一項動手做的活動，製作傳統工藝品並學習當地文化。,https://www.youtube.com/watch?v=Tyr-eJCq7IE,True
gK1EDBku6xM,Word of the Day: meeting 會議,meeting,會議,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,Teachers and parents attend the Class Parent-Teacher Meeting for the new semester.,老師和家長們參加了新學期的班級親師座談會。,"During the meeting, the parents are learning about the curriculum of the school.",在會議期間，家長們了解學校的課程。,https://www.youtube.com/watch?v=gK1EDBku6xM,False
vtKtdSYOXMI,Word of the Day: makeup 化妝,makeup,化妝,yuying,彰化縣員林市育英國小,彰化縣員林市育英國小,ok,yuanlin-city,The students are getting their stage makeup done for the upcoming performance.,學生們正在為即將到來的演出化舞台妝。,A makeup artist is helping the students put on makeup to make their faces stand out on stage.,一位化妝師正在幫助學生們化妝，讓他們的臉在舞台上更突出。,https://www.youtube.com/watch?v=vtKtdSYOXMI,True
w0IYXb6c6gg,Word of the Day: card 卡片,card,卡片,yuying,彰化縣員林市育英國小,彰化縣員林市育英國小,ok,yuanlin-city,The students are making Mother's Day cards with pop-up designs and sparkles.,學生們正在製作有立體設計和亮片的母親節卡片。,They are using different art materials to create beautiful and unique cards for their moms.,他們正在使用不同的美術材料，為他們的媽媽製作美麗且獨一無二的卡片。,https://www.youtube.com/watch?v=w0IYXb6c6gg,True
uUv1i_pdLiY,Word of the Day: video 影片,video,影片,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,The students are preparing for an English speaking contest by using video resources.,學生們正在利用影片資源，為一場英語朗讀比賽做準備。,They are practicing their pronunciation and fluency by listening and speaking along with the videos.,他們正在透過聽取影片並跟著說，來練習他們的發音和流暢度。,https://www.youtube.com/watch?v=uUv1i_pdLiY,True
Tb3vK1eAQPM,Word of the Day: midterm exams 期中考,midterm exams,期中考,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,"Midterm exams are exams given around the midpoint of a grading term, such as a quarter or semester.",期中考是一個期中的考試，有可能學季制或是學期制。,Students spend a lot of time and effort preparing for their midterm exams.,同學們花很多時間與精力準備期中考。,https://www.youtube.com/watch?v=Tb3vK1eAQPM,False
tiOHCODBiko,Word of the Day: badminton 羽球,badminton,羽球,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,These students are learning to play badminton.,學生們正在學習打羽毛球。,Badminton can be a single or team sport.,羽毛球可以是單人運動，也可以是團隊運動。,https://www.youtube.com/watch?v=tiOHCODBiko,True
BU9Bk4pMPmM,Word of the Day: computer class 電腦課,computer class,電腦課,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,The students learn how to use computers in computer class.,同學們在電腦課中學習如何使用電腦。,Each student uses a computer during computer class.,每個學生在電腦課的時候都有一台電腦可以使用。,https://www.youtube.com/watch?v=BU9Bk4pMPmM,False
xgG0bbB9uU0,Word of the Day: mural 壁畫,mural,壁畫,wanlai,彰化縣北斗鎮萬來國小,彰化縣北斗鎮萬來國小,ok,beidou,The students are working together to paint a colorful school mural on the wall.,學生們正在合作在牆上繪製一幅色彩豐富的學校壁畫。,They are using paint and brushes to decorate the campus with this large school mural.,他們正在使用顏料和畫筆，用這幅大型的學校壁畫來美化校園。,https://www.youtube.com/watch?v=xgG0bbB9uU0,True
L7OW4WBLG7c,Word of the Day: Chinese class 國語課,Chinese class,國語課,shuiwei,彰化縣溪州鄉水尾國小,彰化縣溪州鄉水尾國小,ok,xizhou,The students are in Chinese class.,同學們正在上國語課。,They learn Chinese idioms in Chinese class.,他們在國語課學習中文的成語、詞語。,https://www.youtube.com/watch?v=L7OW4WBLG7c,False
ENzUQMqGUWg,Word of the Day: plant 種植,plant,種植,shuiwei,彰化縣溪州鄉水尾國小,彰化縣溪州鄉水尾國小,ok,xizhou,The students are learning how to plant scallions.,學生們正在學習如何種植蔥。,"They dig the soil, plant the seedlings, and water them to help them grow.",他們挖土、種下蔥苗，並為它們澆水，好讓它們成長。,https://www.youtube.com/watch?v=ENzUQMqGUWg,True
z1cbk-NU2eo,Word of the Day: game 遊戲,game,遊戲,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小西畔分校,ok,xizhou,The teacher uses a game to make English class fun and engaging.,老師用遊戲讓英語課變得有趣和吸引人。,Games in class keep students focused and interested.,課堂上的遊戲可以保持學生的注意力和興趣。,https://www.youtube.com/watch?v=z1cbk-NU2eo,True
OQ9UJKfRgXA,Word of the Day: Hakka 客家語,Hakka,客家語,chengkung,彰化縣溪州鄉成功國小,彰化縣溪州鄉成功國小西畔分校,ok,xizhou,The school has added the Hakka language to its curriculum.,學校已將客語納入校訂課程中。,The students learn Hakka proverbs and a new sentence at the Tuesday morning assembly.,學生們在每週二的朝會上，會學習一句新的客語和客家諺語。,https://www.youtube.com/watch?v=OQ9UJKfRgXA,True
IS-pcd5fQiE,Word of the Day: mobile library 行動圖書館,mobile library,行動圖書館,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The mobile library is a truck that's been converted into a small library.,行動圖書館是由卡車改裝的小圖書館。,The mobile library can bring lots of books to students at different schools!,行動圖書館可以將書帶給不同學校的學生閱讀。,https://www.youtube.com/watch?v=IS-pcd5fQiE,False
CYZHbVx1_xI,Word of the Day :calligraphy 書法,calligraphy,書法,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The boys and girls are learning traditional Chinese calligraphy.,這群男孩和女孩正在學習中國傳統的書法。,"To get good at calligraphy, you have to have a lot of patience!",書法要寫得好必須要很有耐心。,https://www.youtube.com/watch?v=CYZHbVx1_xI,True
RKZlRQ6vCZU,Word of the Day: celebrate 慶祝,celebrate,慶祝,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The students are celebrating their classmate's birthday.,學生們慶祝他們同班同學的生日。,They are having a good time celebrating his birthday.,他們在慶祝他的生日時非常開心。,https://www.youtube.com/watch?v=RKZlRQ6vCZU,True
D_2t8hAoypY,Word of the Day: newspaper 報紙,newspaper,報紙,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The students are reading a newspaper to learn about current events.,同學們正在讀報瞭解時事。,They also improve their reading abilities by reading newspapers.,他們可以藉由讀報來提升閱讀能力。,https://www.youtube.com/watch?v=D_2t8hAoypY,True
qQmWVusi0gQ,Word of the Day: shoot 投籃,shoot,投籃,tachu,彰化縣彰化市大竹國小,彰化縣彰化市大竹國小,ok,changhua-city,The students are practicing shooting the basketball.,學生正在練習投籃。,They take turns shooting the ball.,他們輪流投籃。,https://www.youtube.com/watch?v=qQmWVusi0gQ,False
gjaBtLg6Pn8,Word of the Day: number 數字,number,數字,shuiwei,彰化縣溪州鄉水尾國小,彰化縣溪州鄉水尾國小,ok,xizhou,The students are doing a puzzle game to learn numbers in English.,學生們正在玩一個益智遊戲來學習英語中的數字。,They are matching the number cards with the correct word cards.,他們正在將數字卡片與正確的單字卡片進行匹配。,https://www.youtube.com/watch?v=gjaBtLg6Pn8,True
xrjsMNp47ec,Word of the Day: pinwheel 風車,pinwheel,風車,raoming,彰化縣員林市饒明國小,彰化縣員林市饒明國小,ok,yuanlin-city,The students are having a great time playing with pinwheels outside.,學生們在戶外玩風車玩得很開心。,They are running on the grass to make their pinwheels spin in the wind.,他們在草地上奔跑，讓風車在風中旋轉。,https://www.youtube.com/watch?v=xrjsMNp47ec,True
vnGORSWyr1g,Word of the Day: field trip 校外教學,field trip,校外教學,fushing,彰化縣永靖鄉福興國小,彰化縣永靖鄉福興國小,ok,yongjing,Students go on a field trip to a farm to learn about plants and participate in farm activities.,學生們到農場進行校外教學，了解植物並參與農場活動。,"During the field trip, students make tofu pudding and learn about where food comes from.",在校外教學期間，學生們製作豆腐布丁並了解食物的來源。,https://www.youtube.com/watch?v=vnGORSWyr1g,True
chGR4MoBamo,Word of the Day: water fight 打水仗,water fight,打水仗,santan,彰化縣田中鎮三潭國小,彰化縣田中鎮三潭國小,ok,tianzhong,The students are having a water fight as a special graduation activity.,學生們正在進行一場水戰，作為一項特殊的畢業活動。,They are using water blasters and buckets to play and have fun before they graduate.,畢業前，他們用水槍和水桶來玩耍和娛樂。,https://www.youtube.com/watch?v=chGR4MoBamo,True
vaSd2tYfCDw,Word of the Day: outdoor education 戶外教育,outdoor education,戶外教育,dacheng-cc,彰化縣彰化市大成國小,彰化縣彰化市大成國小,ok,changhua-city,The students are taking an outdoor education trip at Taichung Metropolitan Park.,學生們正在台中都會公園進行戶外教育之旅。,They are taking part in an outdoor education activity to learn about plants and the environment.,他們正在參加戶外教育活動，了解植物和環境知識。,https://www.youtube.com/watch?v=vaSd2tYfCDw,True
nbRv6PXhFDQ,Word of the Day: Wordwall game 單字牆遊戲,Wordwall game,單字牆遊戲,dacheng-cc,彰化縣彰化市大成國小,彰化縣彰化市大成國小,ok,changhua-city,The students are using laptops in their English class to play a Wordwall game.,學生在英語課上使用筆記型電腦玩「單字牆」遊戲。,They are learning English vocabulary by playing the Wordwall game.,他們透過玩「單字牆」遊戲學習英語詞彙。,https://www.youtube.com/watch?v=nbRv6PXhFDQ,True
rnWmc2jLvpM,Word of the Day: role play activity 角色扮演活動,role play activity,角色扮演活動,dacheng-cc,彰化縣彰化市大成國小,彰化縣彰化市大成國小,ok,changhua-city,The students are doing a role-play activity to practice ordering food in English.,學生正在進行角色扮演活動，練習用英語點餐。,"In this role-play activity, they are practicing their English conversation skills by pretending to be customers and waiters.",在這個角色扮演活動中，他們透過扮演顧客和服務員來練習英語會話技能。,https://www.youtube.com/watch?v=rnWmc2jLvpM,True
8GcJx6GpNlY,Word of the Day: graduation camp 畢業營,graduation camp,畢業營,santan,彰化縣田中鎮三潭國小,彰化縣田中鎮三潭國小,ok,tianzhong,"During their graduation camping trip, they are enjoying food, playing games, and making lasting memories.",在畢業露營之旅中，他們享用美食、玩遊戲，留下了難忘的回憶。,The students are having a fun graduation camping trip with their friends.,學生們和朋友們一起度過了有趣的畢業露營之旅。,https://www.youtube.com/watch?v=8GcJx6GpNlY,True
vDIjU8HTzUo,Word of the Day: French toast 法式吐司,French toast,法式吐司,erlin,彰化縣二林鎮二林國小,彰化縣二林鎮二林國小,ok,erlin,The students are learning to cook by dipping bread in an egg mixture and frying French toast in a pan.,學生們正在學習烹飪，將麵包浸入雞蛋混合物中，然後在平底鍋裡煎法式吐司。,They are following the recipe to make delicious French toast by frying it until it is golden brown.,他們按照食譜煎至金黃色，製作出美味的法式吐司。,https://www.youtube.com/watch?v=vDIjU8HTzUo,True
ChZejJ7GvQA,Word of the Day: pancake 圓形鬆餅（美式薄煎餅）,pancake,圓形鬆餅（美式薄煎餅）,erlin,彰化縣二林鎮二林國小,彰化縣二林鎮二林國小,ok,erlin,The students are making pancakes by whisking the pancake mix.,學生們正在攪拌煎餅粉來做圓形鬆餅。,They are following the recipe to make delicious pancakes for a cooking class.,他們正在按照食譜為烹飪課程製作美味的圓形鬆餅。,https://www.youtube.com/watch?v=ChZejJ7GvQA,True
m-LoqUw7iXI,Word of the Day: tour guide 導覽員,tour guide,導覽員,erlin,彰化縣二林鎮二林國小,彰化縣二林鎮二林國小,ok,erlin,A tour guide is giving the students a tour and introducing them to the history of rice in Taiwan.,導遊帶領學生參觀，並向他們介紹台灣的水稻歷史。,The students are learning from the tour guide about rice production and its cultural importance.,學生們正在嚮導遊學習水稻生產及其文化意義。,https://www.youtube.com/watch?v=m-LoqUw7iXI,True
bY00IV_dWzM,Word of the Day: running 跑步,running,跑步,,,台中市神岡區豐洲國小,out_of_county,,"During the school anniversary, students of various ages are participating in a running race on the track.",在校慶期間，不同年齡的學生正在跑道上參加一場跑步比賽。,Teachers and parents cheer for the students as they compete in a series of running events.,老師和家長們為正在一系列跑步項目中競爭的學生們歡呼。,https://www.youtube.com/watch?v=bY00IV_dWzM,True
